Colocação,Usuário,Pontuação,Rodadas jogadas
1,jomarego,504.5,45
2,sergiomeira,405,80
3,rafalops,403.5,45
4,garrygol93,384,43
5,kamakawa,302.5,65
6,rdgmx,293.5,28
7,maues,229,41
8,jaisonlp,223.5,46
9,rocato,211,29
10,lexrubao,190,40
11,iza_tomazzini,184.5,21
12,rudystyle,183,42
13,jrenatovieira,176,21
14,carlos8k,168.5,30
15,macgyversp,166,25
16,mormegil3698,162,23
17,valdenicio,152,21
18,lopesakalopes,139.5,35
19,euvolteii,129,10
20,denisnascimento744,117,47
21,ostapoux,108,24
22,androidjedi,106.5,10
23,fjoffly,105,31
24,guilhermeallvs1988,99,16
25,leonilson,92.5,22
26,sadicapao,91,30
27,matoschess3,86,26
28,lucasrodrigues03,77.5,27
29,diegomartins12,77.5,16
30,ricardoandre87,73.5,30
31,thelawadv,71,5
32,robelloko,70.5,26
33,wagner_freitas1983,67,32
34,thiagoguerra,66.5,11
35,pnl,61.5,12
36,spdouglas40,61,13
37,weslleycarneiro,60.5,12
38,giovani_2003,60,9
39,maycon11ce,59.5,5
40,levy007,58,7
41,fabiano-banach,57,11
42,jian-wa,55,23
43,eliasmorenorodrigues,52,8
44,coxabranca,52,13
45,huguinho52,51.5,10
46,vinil23,51,14
47,ssa_472,49,12
48,romualdoportela,48.5,9
49,r0684,48,16
50,jcgraciano,46.5,17
51,chesspsico2014,46.5,10
52,robertopaixao,46,4
53,cgvargas,46,29
54,vladimirric,45.5,9
55,retificator,43.5,15
56,maluco_do_natal_00,43.5,4
57,fabiano_instrutor,42,9
58,cianfa1,42,14
59,capaas,41,8
60,octoberfast,36.5,3
61,juaodasneves,36,5
62,maiconparana,34.5,9
63,thiagoobr,33.5,12
64,marciobatistele,33,8
65,bezerroscbex,33,9
66,davidab1998,32,5
67,leaodolitoral,31.5,22
68,davizon23,31,9
69,alexnovitz,31,3
70,lostbeagle,30,2
71,rechbruxao,28.5,5
72,adalberti,28.5,3
73,bpconti,28,3
74,gustavomppe,27.5,9
75,ataquesalrey,25.5,7
76,fabianno,25,8
77,etzinhomaluco,25,3
78,mnrafrangonutella,24,6
79,eduardo88888,24,5
80,gabrielfonseca2009,22.5,5
81,freezer_burn_elo,22,12
82,samuelluiztoledo,21.5,9
83,heverton_hauth,21.5,5
84,gxbg2000,21.5,3
85,rivair96,20.5,5
86,nanibrawlstars,20.5,4
87,mjr91,20.5,6
88,vskulkamp1221,20,4
89,stenzow,20,3
90,joao_carrera,20,11
91,hans_niemann_tomazzini,20,3
92,amauridantas,20,5
93,nostradamus200,19.5,15
94,gamefullchess,19.5,7
95,yellowmeadow,19,5
96,meisterg009,18.5,9
97,joaolucio,18.5,2
98,jhonecristo007,18,14
99,jpvc,17.5,2
100,jogandoparadesestressar,17.5,3
101,andreavb,17.5,5
102,nosrebur1,17,7
103,dualbeholder,17,1
104,capivahrah,17,4
105,chimpinha,16.5,1
106,bryoussef,16.5,6
107,justinopereira,16.5,6
108,vimael,16,3
